word,level
cardigan,2
curtain,2
cutlet,2
cyclist,2
deduce,2
denim,2
discard,2
disdain,2
dividend,2
doctrine,2
domestic,2
downpour,2
earmuffs,2
edam,2
either,2
elude,2
engine,2
enough,2
envelop,2
evasive,2
fairway,2
fateful,2
freeze,2
friend,2
fright,2
gallant,2
gallop,2
giant,2
gratitude,2
guard,2
guest,2
gymnast,2
halter,2
hearsay,2
holiday,2
intersect,2
jargon,2
jaunty,2
jellyfish,2
jumbuck,2
kennel,2
lance,2
leather,1
listen,1
lizard,1
maggot,1
magpie,1
mildew,1
missile,1
mullet,1
muslin,1
mustard,1
nervous,1
nickname,1
noodles,1
ordeal,1
paddock,1
passive,1
perfume,1
creative,1
diction,1
interval,1
lento,1
novel,1
passage,1
podcast,1
poetry,1
scene,1
script,1
tango,1
trumpet,1
upstage,1
viola,1
woodwind,1
envoy,2
excise,2
federal,2
justice,2
kingdom,2
office,2
patron,2
policy,2
proxy,2
truce,2
verdict,2
iceberg,2
island,2
magma,2
mangrove,2
nature,2
ocean,2
rainforest,2
thunderstorm,2
tundra,2
westerly,2
wildlife,2
capsule,2
discomfort,2
injury,2
painful,2
posture,2
serum,2
sneeze,2
strength,2
tendon,2
tongue,2
unclean,2
binary,2
bionic,2
concave,2
database,2
median,2
million,2
photon,2
pi,2
volume,2
wireless,2
